SMILES,mol,mw,logp,hbd,hba,rd,exactmw,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,NumHBD,NumHBA,NumHeavyAtoms,NumAtoms,NumHeteroatoms,NumAmideBonds,FractionCSP3,NumRings,NumAromaticRings,NumAliphaticRings,NumSaturatedRings,NumHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumSpiroAtoms,NumBridgeheadAtoms,NumAtomStereoCenters,NumUnspecifiedAtomStereoCenters,labuteASA,tpsa,CrippenClogP,CrippenMR,chi0v,chi1v,chi2v,chi3v,chi4v,chi0n,chi1n,chi2n,chi3n,chi4n,hallKierAlpha,kappa1,kappa2,kappa3,Phi,pred_pic50,IC50
Cc1cccc(-n2nc(C(=O)NCCOc3ccccc3)nc2-c2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7661e04d8b30>,398.174275944,4.051520000000003,1,6,7,398.174275944,398.46600000000007,6.0,1.0,7.0,1.0,5.0,30.0,52.0,6.0,1.0,0.125,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,174.71426514634152,69.04,4.051520000000003,115.80220000000001,16.65525469845546,9.761245214493682,4.488005276155123,4.488005276155123,3.0513134752988504,16.65525469845546,9.761245214493682,4.488005276155123,4.488005276155123,3.0513134752988504,-3.929999999999999,19.38918862089764,9.04623425289746,4.548551371989362,5.846638074608463,7.3020744,49.879899253447405
Cc1ccc(C)c(-n2c(C)nnc2SCC(=O)NCCOc2ccccc2)c1,<rdkit.Chem.rdchem.Mol object at 0x7661e04d9150>,396.161997008,3.4798600000000013,1,6,8,396.16199700799996,396.51600000000013,6.0,1.0,8.0,1.0,6.0,28.0,52.0,7.0,1.0,0.2857142857142857,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168.87510730883255,69.04,3.4798600000000013,111.2407,17.12300473589584,10.099179508710899,5.098179092540801,5.098179092540801,3.551656928121918,16.306508154968114,9.113580949057408,4.169230094073241,4.169230094073241,2.7312816649537113,-2.7999999999999994,19.947729238754324,9.412510116776502,5.132275208273484,6.705650116660483,7.1862173,65.13024201500987
CCOc1ccc(C(=O)NCC(=O)Nc2ccc(-c3n[nH]c(C)n3)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7661e04db060>,379.1644395320001,2.54732,3,8,7,379.1644395320001,379.4200000000001,8.0,3.0,7.0,3.0,5.0,28.0,49.0,8.0,2.0,0.2,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.88846796612717,108.99999999999999,2.54732,105.1296,15.65218777828161,8.852422733755455,3.8610814339432156,3.8610814339432156,2.5114403005062402,15.65218777828161,8.852422733755455,3.8610814339432156,3.8610814339432156,2.5114403005062402,-3.6799999999999993,19.091888655869777,8.806944244988259,4.939565954058967,6.005042818706035,7.1329308,73.63244885136805
COCCCOc1ccccc1NC(=O)NCCc1nnc2n1CCCCC2,<rdkit.Chem.rdchem.Mol object at 0x7661e04d6180>,387.22703978800007,2.7840000000000007,2,8,9,387.22703978800007,387.48400000000026,8.0,2.0,9.0,2.0,6.0,28.0,57.0,8.0,2.0,0.55,3.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,165.17718990897208,90.30000000000001,2.7840000000000007,106.73240000000006,16.446854546515446,9.942512248103553,4.705898805540317,4.705898805540317,3.2657158002667432,16.446854546515446,9.942512248103553,4.705898805540317,4.705898805540317,3.2657158002667432,-2.6100000000000003,20.132709961622854,10.65396139221612,5.69138602940873,7.660468380421956,7.0483828,89.45759965356676
Cc1cccc(OCCNC(=O)CSc2nnc(C)n2-c2ccccc2C)c1,<rdkit.Chem.rdchem.Mol object at 0x7661e04d7920>,396.161997008,3.479860000000002,1,6,8,396.161997008,396.51600000000013,6.0,1.0,8.0,1.0,6.0,28.0,52.0,7.0,1.0,0.2857142857142857,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168.87510730883255,69.03999999999999,3.479860000000002,111.24070000000002,17.123004735895844,10.099179508710897,5.09532763614736,5.09532763614736,3.5940446704329707,16.306508154968114,9.113580949057408,4.166378637679801,4.166378637679801,2.7736694072647636,-2.7999999999999994,19.947729238754324,9.412510116776502,5.132275208273484,6.705650116660483,7.1298885,74.15005294370634
CC(=O)Nc1ccccc1OCc1noc(C(=O)NCCc2ccc(O)cc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7661e04d7bc0>,396.14336974,2.2851,3,9,8,396.14336974,396.4030000000001,9.0,3.0,8.0,3.0,7.0,29.0,49.0,9.0,2.0,0.2,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,166.25077329875032,126.58000000000001,2.2851,103.51970000000001,15.714756445431979,8.891550738372876,3.8524356470670895,3.8524356470670895,2.491136386941104,15.714756445431979,8.891550738372876,3.8524356470670895,3.8524356470670895,2.491136386941104,-3.88,19.86986294933041,9.357008583531512,5.79708097555455,6.411119936913083,7.083892,82.4343335926459
CCOc1ccc(C(=O)NCC(=O)Nc2cccc(-c3n[nH]c(C)n3)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7661e04d00b0>,379.1644395320001,2.547320000000001,3,8,7,379.1644395320001,379.4200000000001,8.0,3.0,7.0,3.0,5.0,28.0,49.0,8.0,2.0,0.2,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.8884679661272,108.99999999999999,2.547320000000001,105.12960000000001,15.65218777828161,8.852422733755455,3.838752334573955,3.838752334573955,2.544848252206678,15.65218777828161,8.852422733755455,3.838752334573955,3.838752334573955,2.544848252206678,-3.6799999999999993,19.091888655869777,8.806944244988259,4.939565954058967,6.005042818706035,7.1329308,73.63244885136805
Cc1ccccc1OCc1nnc(SCC(=O)NC2CC2)n1-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7661e04d1070>,394.146346944,3.525420000000002,1,6,8,394.146346944,394.5000000000001,6.0,1.0,8.0,1.0,6.0,28.0,50.0,7.0,1.0,0.2857142857142857,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,167.86927615530334,69.03999999999999,3.525420000000002,108.75870000000002,16.484812055461642,10.29366762171048,5.368910119762131,5.368910119762131,3.5934450088030894,15.668315474533916,9.308069062056989,4.439961121294573,4.439961121294573,2.811474774187543,-2.799999999999999,18.55808057944772,8.476551436901293,4.53718512404565,5.6181615929231254,7.093903,80.55582231096565
O=C(NCCOc1ccccc1)c1nc(Cc2ccccc2)n(-c2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7661e04d2260>,398.174275944,3.6669000000000023,1,6,8,398.17427594400004,398.46600000000007,6.0,1.0,8.0,1.0,5.0,30.0,52.0,6.0,1.0,0.125,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,174.71426514634152,69.03999999999999,3.6669000000000027,114.87720000000002,16.439711748831634,9.80766839315727,4.482638369033928,4.482638369033928,3.0386114030167772,16.439711748831634,9.80766839315727,4.482638369033928,4.482638369033928,3.0386114030167772,-3.929999999999999,19.38918862089764,9.515238799791597,4.911787432899145,6.149758662068098,7.4633565,34.40673837122222
COc1ccccc1-n1c(Cc2ccccc2)nnc1SCC(=O)NC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7661e04d3840>,396.161997008,3.4834000000000014,1,6,8,396.16199700799996,396.51600000000013,6.0,1.0,8.0,1.0,6.0,28.0,52.0,7.0,1.0,0.2857142857142857,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168.8751073088326,69.03999999999999,3.4834000000000014,111.16170000000005,17.070598493088546,10.104998125624327,4.942489302947584,4.942489302947584,3.611835565124713,16.25410191216082,9.119399565970838,4.013540304480025,4.013540304480025,2.8369264117198734,-2.8,19.947729238754324,9.412510116776502,4.9215268332156805,6.705650116660483,7.0614705,86.8019519471217
COc1ccc(NCc2nc(CC(=O)NCCCN(C)C)n[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7661e04cd770>,346.21172407200004,1.0358,3,8,10,346.21172407200004,346.435,8.0,3.0,10.0,3.0,6.0,25.0,51.0,8.0,1.0,0.47058823529411764,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,147.52451167341263,95.16999999999999,1.0358,96.58810000000003,15.003072350118844,8.260712886956686,3.5509514553603165,3.5509514553603165,2.2168099636244603,15.003072350118844,8.260712886956686,3.5509514553603165,3.5509514553603165,2.2168099636244603,-2.6100000000000003,18.724715123833807,9.629058738537871,6.799892564473281,7.212055271591367,7.0432873,90.51336747832946
COc1ccc(NCc2nnc(SCC(=O)NCc3ccccc3)n2N)cc1,<rdkit.Chem.rdchem.Mol object at 0x7661e04ce960>,398.152494944,2.0211,4,8,9,398.152494944,398.49200000000013,8.0,4.0,9.0,3.0,8.0,28.0,50.0,9.0,1.0,0.21052631578947367,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0051119808951,107.08999999999999,2.0210999999999997,109.5058,16.277705274275093,9.647338261690283,4.883725077983445,4.883725077983445,3.0990915938098804,15.461208693347368,8.661739702036794,3.9406539170944637,3.9406539170944637,2.3938159984374434,-3.1999999999999993,19.558520828692362,9.653406572828565,5.398732461734696,6.7430840543751165,7.0646615,86.16650882516333
O=C(NCCOc1ccccc1)c1nc(-c2ccccc2)n(-c2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7661e04cfd80>,384.1586258800001,3.7431000000000023,1,6,7,384.15862588000005,384.4390000000001,6.0,1.0,7.0,1.0,5.0,29.0,49.0,6.0,1.0,0.08695652173913043,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,168.34932303194492,69.03999999999999,3.7431000000000028,111.0652,15.732604967645088,9.35056161197072,4.242542474559806,4.242542474559806,2.86079608845719,15.732604967645088,9.35056161197072,4.242542474559806,4.242542474559806,2.86079608845719,-3.929999999999999,18.43408939481415,8.839048679147098,4.495200225646973,5.618614259190053,7.0070286,98.39463528578045
CC(=O)Nc1ccccc1OCc1noc(C(=O)NCCc2ccccc2)n1,<rdkit.Chem.rdchem.Mol object at 0x7661e04c83c0>,380.1484551200001,2.5795000000000003,2,8,8,380.14845512000005,380.40400000000005,8.0,2.0,8.0,2.0,6.0,28.0,48.0,8.0,2.0,0.2,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.4565395465543,106.35000000000001,2.5795000000000003,101.85490000000001,15.344893119121647,8.757260338099938,3.7589200041226585,3.7589200041226585,2.473199027828058,15.344893119121647,8.757260338099938,3.7589200041226585,3.7589200041226585,2.473199027828058,-3.6799999999999997,19.091888655869777,9.312698370760648,5.4061948573138645,6.349892870723649,7.0784893,83.46621052483734
CC(=O)Nc1cccc(OCc2noc(C(=O)NCCc3ccccc3)n2)c1,<rdkit.Chem.rdchem.Mol object at 0x7661e04c84a0>,380.1484551200001,2.5795000000000003,2,8,8,380.14845512000005,380.4040000000001,8.0,2.0,8.0,2.0,6.0,28.0,48.0,8.0,2.0,0.2,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.45653954655432,106.35000000000001,2.5795000000000003,101.85490000000001,15.344893119121647,8.75127727395623,3.72672794643344,3.72672794643344,2.4602602232856206,15.344893119121647,8.75127727395623,3.72672794643344,3.72672794643344,2.4602602232856206,-3.6799999999999997,19.091888655869777,9.312698370760648,5.6647046715813625,6.349892870723649,7.0784893,83.46621052483734
CCOc1ccc(-n2c(Cc3ccccc3)nnc2SCC(=O)NC)cc1,<rdkit.Chem.rdchem.Mol object at 0x7661e04c6ff0>,382.146346944,3.094900000000001,1,6,8,382.14634694399996,382.4890000000001,6.0,1.0,8.0,1.0,6.0,27.0,49.0,7.0,1.0,0.25,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,162.51016519443596,69.03999999999999,3.094900000000001,106.56670000000004,16.200355005085466,9.743173013824052,4.851516167984436,4.851516167984436,3.4494035458071126,15.383858424157742,8.757574454170562,3.922567169516879,3.922567169516879,2.6064290772274914,-2.8,18.975304469436512,9.228021694214874,4.885125840969996,6.485352640677503,7.0664167,85.81896244368785
